package_name,weekly_downloads
debug,55504240
kind-of,45641019
supports-color,43197621
semver,41981939
ms,40599278
readable-stream,39806822
source-map,39377622
strip-ansi,37521283
ansi-regex,36811208
yargs,35413503
string-width,34937879
commander,34294840
minimist,34261017
camelcase,33277447
punycode,32802884
glob,32039827
qs,30187446
inherits,30133114
chalk,29747889
define-property,29745717
yargs-parser,29632401
pify,28580860
find-up,28246381
string_decoder,27736972
acorn,26926781
lodash,26727391
isarray,26398420
cross-spawn,26207660
is-fullwidth-code-point,26140185
async,25626427
safe-buffer,25369203
isobject,25280475
ansi-styles,25121378
is-glob,24183747
ajv,24118651
mime,24055195
cliui,23658245
resolve,23411928
esprima,23146386
extend-shallow,23120465
rimraf,23113545
core-js,23007134
is-number,22814024
execa,22505363
read-pkg,22461443
path-type,22282191
lru-cache,22165030
mime-db,22134155
http-errors,21623885
yallist,21494646
get-stream,21381686
postcss,21310479
path-exists,21078932
read-pkg-up,20952824
tough-cookie,20941135
regenerator-runtime,20830364
mime-types,20785370
p-locate,20749414
locate-path,20693249
uuid,20680541
fs-extra,20607824
resolve-from,20572202
is-accessor-descriptor,20435214
is-data-descriptor,20418452
is-descriptor,20402051
jsesc,20287068
has-flag,20246258
graceful-fs,20197455
json5,19915234
extsprintf,19903591
load-json-file,19896967
pkg-dir,19889974
has-value,19657512
has-values,19655213
is-extendable,19549456
p-limit,19487145
parse-json,19409235
braces,19145913
@types/node,18915756
iconv-lite,18849203
globby,18847455
ws,18784613
glob-parent,18597108
normalize-path,18586672
form-data,18511885
pump,18411275
wrap-ansi,18308868
fill-range,18233545
p-try,18087199
setprototypeof,17875081
make-dir,17826232
wordwrap,17521324
is-buffer,17506406
js-tokens,17483365
micromatch,17337345
os-locale,17236017
fast-deep-equal,17090314
json-schema-traverse,17075834
bytes,16994294
minimatch,16901721
inquirer,16873050
strip-bom,16818268
slash,16616769
bluebird,16546762
source-map-support,16511176
process-nextick-args,16456017
fsevents,16446742
schema-utils,16380007
mimic-fn,16362348
through2,16311303
request,16310047
nopt,16110478
postcss-selector-parser,16038579
y18n,15937866
browserslist,15906511
@babel/types,15891678
callsites,15833744
uglify-js,15818224
globals,15777816
ansi-escapes,15741718
path-to-regexp,15693941
har-validator,15670496
ignore,15633150
chokidar,15586490
color-name,15517661
doctrine,15517462
figures,15469689
object-assign,15378308
require-main-filename,15378059
get-caller-file,15304993
statuses,15298789
combined-stream,15189949
util,15094858
js-yaml,14979940
assert-plus,14874428
balanced-match,14865649
array-flatten,14779673
onetime,14742858
@babel/parser,14689116
oauth-sign,14679211
arr-diff,14570000
which,14562758
sax,14540142
http-signature,14502690
is-arrayish,14472883
extend,14306204
color-convert,14294764
mkdirp,14279825
find-cache-dir,14278059
cookie,14277865
strip-json-comments,14274325
core-util-is,14241524
rxjs,14217007
to-fast-properties,14153033
invert-kv,14143086
safer-buffer,14118369
anymatch,14102824
lcid,13961956
is-extglob,13926198
which-module,13902376
depd,13864106
once,13838534
aws-sign2,13835274
extglob,13806705
raw-body,13710604
tunnel-agent,13702843
to-regex-range,13685793
expand-brackets,13684491
eslint-scope,13678256
,13640969
component-emitter,13629919
sprintf-js,13618662
is-stream,13588018
for-in,13575479
array-unique,13564182
tweetnacl,13547208
tmp,13510677
@babel/generator,13444643
performance-now,13428526
set-value,13325962
har-schema,13312595
cli-cursor,13307583
restore-cursor,13304163
@babel/traverse,13293444
caseless,13264897
path-key,13237538
colors,13217921
@babel/runtime,13217166
convert-source-map,13215690
object-keys,13211685
sshpk,13200565
wrappy,13193854
asn1,13186022
delayed-stream,13170620
xtend,13156677
is-plain-object,13121613
aws4,13118386
escape-string-regexp,13087784
postcss-value-parser,13073584
decamelize,12986604
brace-expansion,12960279
,12952065
parse5,12949124
verror,12843334
regexpu-core,12780123
emoji-regex,12776946
es-abstract,12772878
tar,12756703
end-of-stream,12752304
indent-string,12750529
estraverse,12725985
fast-json-stable-stringify,12691507
jsprim,12655256
buffer,12625795
psl,12621203
esutils,12611802
util-deprecate,12575859
json-schema,12570102
concat-stream,12566473
getpass,12566110
ecc-jsbn,12533270
json-stringify-safe,12525819
bcrypt-pbkdf,12521621
forever-agent,12506243
path-is-absolute,12492627
asynckit,12468204
mute-stream,12457282
inflight,12444043
finalhandler,12426828
write-file-atomic,12379345
is-typedarray,12371526
shebang-regex,12369286
jsbn,12359836
cssesc,12354611
shebang-command,12332236
isstream,12322944
npm-run-path,12300708
jsonfile,12285571
tslib,12265741
@babel/code-frame,12224751
dashdash,12211694
send,12203786
domelementtype,12202844
@babel/template,12201753
concat-map,12198790
ipaddr.js,12182073
accepts,12158851
fs.realpath,12131273
uri-js,12124135
get-stdin,12092279
domutils,12001785
node-fetch,11985235
import-fresh,11948911
signal-exit,11885224
faye-websocket,11877598
negotiator,11870902
hosted-git-info,11848725
readdirp,11847214
p-finally,11798801
base64-js,11753989
binary-extensions,11678125
argparse,11665668
cacache,11648999
body-parser,11635453
range-parser,11630959
serve-static,11602666
electron-to-chromium,11494882
parseurl,11463043
whatwg-url,11462367
buffer-from,11386058
@babel/core,11298949
is-path-inside,11289703
type-is,11259928
es-to-primitive,11228380
external-editor,11200121
caniuse-lite,11185660
express,11170944
define-properties,11149019
@babel/helper-split-export-declaration,11124719
loader-utils,11124329
entities,11119360
has-symbols,11117006
has,11099617
spdx-license-ids,11094304
is-symbol,11081729
content-disposition,11081669
is-binary-path,11064612
path-parse,11059980
mem,11041109
isexe,11012536
ci-info,10996836
regjsgen,10983486
function-bind,10953806
slice-ansi,10942993
normalize-url,10937727
cosmiconfig,10786378
ini,10710931
normalize-package-data,10677507
number-is-nan,10662409
os-tmpdir,10651012
regjsparser,10648729
escape-html,10626188
follow-redirects,10614291
encodeurl,10594455
has-ansi,10560099
fresh,10559176
ee-first,10549314
aproba,10542993
on-finished,10521690
error-ex,10516737
etag,10502378
is-ci,10502113
proxy-addr,10489418
set-blocking,10487967
arr-union,10483247
unpipe,10478374
is-regex,10472708
repeat-string,10471587
is-windows,10459266
content-type,10448784
get-value,10440041
unset-value,10428252
clone,10405538
is-date-object,10394353
code-point-at,10391381
p-map,10387995
methods,10387655
chownr,10384281
utils-merge,10361987
moment,10323125
spdx-correct,10315009
ieee754,10312478
mixin-deep,10289607
union-value,10279618
media-typer,10276894
abbrev,10253899
ajv-keywords,10251275
events,10204665
ret,10204127
destroy,10198166
is-callable,10187271
vary,10170910
imurmurhash,10146628
through,10141883
@babel/highlight,10129896
@babel/helper-get-function-arity,10085438
validate-npm-package-license,10084208
@babel/helper-function-name,10078316
chardet,10070474
big.js,10063912
strip-eof,10053396
atob,10013026
typedarray,9958647
repeat-element,9957947
handlebars,9956271
del,9947180
diff,9939025
memory-fs,9917971
spdx-expression-parse,9916952
co,9908019
source-map-resolve,9890650
pascalcase,9770170
split-string,9764031
arr-flatten,9763635
cookie-signature,9743352
use,9722631
safe-regex,9719226
nanomatch,9707620
require-directory,9701883
os-homedir,9686038
babel-runtime,9674251
escodegen,9669867
merge-descriptors,9663745
log-symbols,9663697
source-map-url,9649801
assign-symbols,9645553
dot-prop,9645383
css-select,9638326
snapdragon-node,9628670
map-cache,9622091
meow,9604273
es6-promise,9591450
url,9591041
optionator,9590259
to-regex,9564677
prepend-http,9564074
regex-not,9561964
spdx-exceptions,9559727
forwarded,9538871
loose-envify,9534158
pseudomap,9531185
snapdragon,9523034
decode-uri-component,9501286
eventemitter3,9489647
duplexify,9485318
cache-base,9471495
array-union,9468986
base,9465622
remove-trailing-separator,9447945
optimist,9446970
class-utils,9441644
async-each,9431022
urix,9406561
neo-async,9400421
arrify,9397922
progress,9387566
resolve-url,9386972
npmlog,9386402
snapdragon-util,9374860
object.pick,9353286
nice-try,9337542
to-object-path,9335255
object-visit,9329575
collection-visit,9322973
map-visit,9322121
static-extend,9302136
map-obj,9295935
copy-descriptor,9288033
object-copy,9286842
fragment-cache,9282329
type-fest,9276021
pako,9265459
agent-base,9236287
posix-character-classes,9225056
upath,9205789
istanbul-lib-coverage,9205387
strip-indent,9205132
gauge,9204936
for-own,9183703
deep-extend,9173731
webpack,9166540
async-limiter,9163416
react-is,9162662
pinkie-promise,9158774
pinkie,9108098
array-uniq,9073355
is-promise,9036250
run-async,9035364
enhanced-resolve,9033138
is-wsl,9004151
object.getownpropertydescriptors,8989619
espree,8986354
fast-levenshtein,8972075
@babel/helpers,8965057
invariant,8955758
