malicious_package_name,benign_package_name,detected,reason,,,,,
zs-sha3,js-sha3,no,bad typo,,,,detected,0.603603604
ns-sha3,js-sha3,yes,detected,,,,bad typo,0.220720721
ks-sha3,js-sha3,yes,detected,,,,not popular,0.081081081
jw-sha3,js-sha3,yes,detected,,,,swapped 3 chars,0.018099548
jsmsha3,js-sha3,no,bad typo,,,,multiple signals,0.040909091
js-wha3,js-sha3,yes,detected,,,,added random chars,0.02739726
js-sxa3,js-sha3,no,bad typo,,,,didn't check for this,0.009174312
js-sla3,js-sha3,no,bad typo,,,,,
js-sja3,js-sha3,yes,detected,,,,,
js-sia3,js-sha3,no,bad typo,,,,,
js-shq3,js-sha3,yes,detected,,,,,
js-shi3,js-sha3,no,bad typo,,,,,
js-she3,js-sha3,no,bad typo,,,,,
js-shc3,js-sha3,no,bad typo,,,,,
js-shas,js-sha3,no,bad typo,,,,,
js-sha7,js-sha3,no,bad typo,,,,,
js-rha3,js-sha3,no,bad typo,,,,,
js-qha3,js-sha3,yes,detected,,,,,
js-cha3,js-sha3,yes,detected,,,,,
js-3ha3,js-sha3,no,bad typo,,,,,
jr-sha3,js-sha3,no,bad typo,,,,,
jq-sha3,js-sha3,yes,detected,,,,,
jc-sha3,js-sha3,yes,detected,,,,,
j3-sha3,js-sha3,no,bad typo,,,,,
hs-sha3,js-sha3,yes,detected,,,,,
bs-sha3,js-sha3,no,bad typo,,,,,
ruffer-xor,buffer-xor,no,bad typo,,,,,
juffer-xor,buffer-xor,no,bad typo,,,,,
fuffer-xor,buffer-xor,yes,detected,,,,,
cuffer-xor,buffer-xor,no,bad typo,,,,,
bwffer-xor,buffer-xor,no,bad typo,,,,,
buvfer-xor,buffer-xor,yes,detected,,,,,
bunfer-xor,buffer-xor,no,bad typo,,,,,
bugfer-xor,buffer-xor,yes,detected,,,,,
bufver-xor,buffer-xor,yes,detected,,,,,
bufner-xor,buffer-xor,no,bad typo,,,,,
bufger-xor,buffer-xor,yes,detected,,,,,
buffur-xor,buffer-xor,no,bad typo,,,,,
buffmr-xor,buffer-xor,no,bad typo,,,,,
buffgr-xor,buffer-xor,no,bad typo,,,,,
buffez-xor,buffer-xor,no,bad typo,,,,,
buffev-xor,buffer-xor,no,bad typo,,,,,
buffes-xor,buffer-xor,no,bad typo,,,,,
buffermxor,buffer-xor,no,bad typo,,,,,
buffer-zor,buffer-xor,yes,detected,,,,,
buffer-yor,buffer-xor,no,bad typo,,,,,
buffer-xoz,buffer-xor,no,bad typo,,,,,
buffer-xov,buffer-xor,no,bad typo,,,,,
buffer-xos,buffer-xor,no,bad typo,,,,,
buffer-xop,buffer-xor,no,bad typo,,,,,
buffer-xob,buffer-xor,no,bad typo,,,,,
buffer-xo2,buffer-xor,no,bad typo,,,,,
buffer-xnr,buffer-xor,no,bad typo,,,,,
buffer-xmr,buffer-xor,no,bad typo,,,,,
buffer-xkr,buffer-xor,yes,detected,,,,,
buffer-xgr,buffer-xor,no,bad typo,,,,,
buffer-por,buffer-xor,no,bad typo,,,,,
buffer-hor,buffer-xor,no,bad typo,,,,,
buffer-8or,buffer-xor,yes,detected,,,,,
buffep-xor,buffer-xor,no,bad typo,,,,,
buffeb-xor,buffer-xor,no,bad typo,,,,,
buffe2-xor,buffer-xor,no,bad typo,,,,,
buffdr-xor,buffer-xor,yes,detected,,,,,
buffar-xor,buffer-xor,no,bad typo,,,,,
bufder-xor,buffer-xor,yes,detected,,,,,
bufber-xor,buffer-xor,yes,detected,,,,,
budfer-xor,buffer-xor,yes,detected,,,,,
bubfer-xor,buffer-xor,yes,detected,,,,,
btffer-xor,buffer-xor,no,bad typo,,,,,
bqffer-xor,buffer-xor,no,bad typo,,,,,
beffer-xor,buffer-xor,no,bad typo,,,,,
b5ffer-xor,buffer-xor,no,bad typo,,,,,
uglyfi.js,uglify-js,no,multiple signals,,,,,
ember_cli_babe,ember-cli-babel,no,multiple signals,,,,,
yeoman-genrator,yeoman-generator,yes,detected,,,,,
require-port,requires-port,yes,detected,,,,,
log-symboles,log-symbols,no,added random chars,,,,,
comander,commander,yes,detected,,,,,
sparkies,sparkles,yes,detected,,,,,
serilize,serialize,no,package not popular,,,,,
serializes,serialize,no,package not popular,,,,,
mysql-koa,koa-mysql,no,package not popular,,,,,
mogoose,mongoose,yes,detected,,,,,
mogodb-core,mongodb-core,yes,detected,,,,,
mogodb,mongodb,yes,detected,,,,,
mogobd,mongodb,no,multiple signals,,,,,
koa-body-parse,koa-bodyparser,no,multiple signals,,,,,
k0a_multer,koa-multer,no,multiple signals,,,,,
import-mysql,mysql-import,no,package not popular,,,,,
body-parse-xml,body-parser-xml,no,package not popular,,,,,
axioss,axios,yes,detected,,,,,
axios-http,axios,no,added random chars,,,,,
tiar,tar,no,added random chars,,,,,
next-util,next-utils,no,package not popular,,,,,
hpmm,hpm,no,package not popular,,,,,
diamond-clien,diamond-client,no,package not popular,,,,,
cicada-render,@cicada/render,no,didn't check for this,,,,,
electron-native-notify,electron-native-notification,no,didn't check for this,,,,,
epress,express,yes,detected,,,,,
commqnder,commander,yes,detected,,,,,
commmander,commander,yes,detected,,,,,
blubird,bluebird,yes,detected,,,,,
yeoman-genrator,yeoman-generator,yes,detected,,,,,
uglyfi-js,uglify-js,no,swapped 3 chars,,,,,
require-ports,requires-port,no,added random chars,,,,,
logsymbles,log-symbols,no,multiple signals,,,,,
jquerz,jquery,no,bad typo,,,,,
jqeury,jquery,yes,detected,,,,,
hulp,gulp,yes,detected,,,,,
froever,forever,yes,detected,,,,,
colour-string,color-string,no,added random chars,,,,,
colro-name,color-name,yes,detected,,,,,
browserift,browserify,yes,detected,,,,,
bowe,bower,yes,detected,,,,,
bowee,bower,yes,detected,,,,,
saync,async,yes,detected,,,,,
reqest,request,yes,detected,,,,,
erquest,request,yes,detected,,,,,
rqeuest,request,yes,detected,,,,,
requset,request,yes,detected,,,,,
requets,request,yes,detected,,,,,
equest,request,yes,detected,,,,,
reuest,request,yes,detected,,,,,
requst,request,yes,detected,,,,,
requet,request,yes,detected,,,,,
reques,request,yes,detected,,,,,
rrequest,request,yes,detected,,,,,
reequest,request,yes,detected,,,,,
reqquest,request,yes,detected,,,,,
requuest,request,yes,detected,,,,,
requeest,request,yes,detected,,,,,
requesst,request,yes,detected,,,,,
requestt,request,yes,detected,,,,,
calk,chalk,yes,detected,,,,,
chak,chalk,yes,detected,,,,,
eact,react,yes,detected,,,,,
experss,express,yes,detected,,,,,
exprss,express,yes,detected,,,,,
commnader,commander,yes,detected,,,,,
momen,moment,yes,detected,,,,,
aysnc,async,yes,detected,,,,,
asnyc,async,yes,detected,,,,,
asycn,async,yes,detected,,,,,
asnc,async,yes,detected,,,,,
aasync,async,yes,detected,,,,,
