malicious_package_name,benign_package_name,repeated_characters,omitted_characters,rearranged_characters,swapped_characters,swapped_words,detect_typos,highest_ratio_package,ratio,,ratio_correct,,ratio_accuracy
zs-sha3,js-sha3,n/a,sha,n/a,n/a,sha3,n/a,js-sha3,86,,TRUE,,88.73873874
ns-sha3,js-sha3,n/a,sha,n/a,n/a,sha3,js-sha3,js-sha3,86,,TRUE,,
ks-sha3,js-sha3,n/a,sha,n/a,n/a,sha3,js-sha3,js-sha3,86,,TRUE,,
jw-sha3,js-sha3,n/a,ws,n/a,n/a,sha3,js-sha3,js-sha3,86,,TRUE,,
jsmsha3,js-sha3,n/a,ms,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-wha3,js-sha3,n/a,jwa,n/a,n/a,n/a,js-sha3,js-sha3,86,,TRUE,,
js-sxa3,js-sha3,n/a,jss,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-sla3,js-sha3,n/a,jss,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-sja3,js-sha3,n/a,jss,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-sia3,js-sha3,n/a,jss,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-shq3,js-sha3,n/a,q,n/a,n/a,n/a,js-sha3,js-sha3,86,,TRUE,,
js-shi3,js-sha3,n/a,jss,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-she3,js-sha3,n/a,he,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-shc3,js-sha3,n/a,jss,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-shas,js-sha3,n/a,json-schema-traverse,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-sha7,js-sha3,n/a,jss,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-rha3,js-sha3,n/a,sha,n/a,n/a,n/a,n/a,js-sha3,86,,TRUE,,
js-qha3,js-sha3,n/a,q,n/a,n/a,n/a,js-sha3,js-sha3,86,,TRUE,,
